County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
Iron County,Missouri,10697.00,4907.00,552.05,0.71,551.34,19.40,8.90
Jackson County,Missouri,654880.00,288231.00,616.41,11.57,604.84,1082.70,476.50
Jasper County,Missouri,104686.00,45571.00,641.32,1.59,639.73,163.60,71.20
Jefferson County,Missouri,198099.00,75586.00,664.09,7.29,656.80,301.60,115.10
Johnson County,Missouri,48258.00,18886.00,833.03,2.59,830.44,58.10,22.70
Knox County,Missouri,4361.00,2317.00,506.77,1.07,505.71,8.60,4.60
Laclede County,Missouri,32513.00,14320.00,768.00,2.14,765.85,42.50,18.70
Lafayette County,Missouri,32960.00,13707.00,638.86,9.55,629.31,52.40,21.80
Lawrence County,Missouri,35204.00,14789.00,613.38,0.30,613.08,57.40,24.10
Lewis County,Missouri,10494.00,4602.00,510.85,5.85,505.01,20.80,9.10
Lincoln County,Missouri,38944.00,15511.00,640.41,9.92,630.49,61.80,24.60
Linn County,Missouri,13754.00,6554.00,621.46,1.11,620.35,22.20,10.60
Livingston County,Missouri,14558.00,6467.00,538.48,3.95,534.52,27.20,12.10
McDonald County,Missouri,21681.00,9287.00,539.70,0.19,539.51,40.20,17.20
Macon County,Missouri,15762.00,7502.00,812.53,8.76,803.77,19.60,9.30
Madison County,Missouri,11800.00,5656.00,497.60,0.87,496.73,23.80,11.40
Maries County,Missouri,8903.00,4149.00,529.97,2.25,527.73,16.90,7.90
Marion County,Missouri,28289.00,12443.00,444.05,5.97,438.07,64.60,28.40
Mercer County,Missouri,3757.00,2125.00,455.18,1.00,454.18,8.30,4.70
Miller County,Missouri,23564.00,11263.00,599.94,7.69,592.26,39.80,19.00
Mississippi County,Missouri,13427.00,5840.00,428.91,15.75,413.16,32.50,14.10
Moniteau County,Missouri,14827.00,5742.00,418.85,2.33,416.52,35.60,13.80
Monroe County,Missouri,9311.00,4565.00,670.23,24.24,645.98,14.40,7.10
Montgomery County,Missouri,12136.00,5726.00,540.34,2.88,537.46,22.60,10.70
Morgan County,Missouri,19309.00,13898.00,613.89,16.48,597.41,32.30,23.30
New Madrid County,Missouri,19760.00,8600.00,698.02,20.01,678.01,29.10,12.70
Newton County,Missouri,52636.00,21897.00,626.66,0.24,626.42,84.00,35.00
Nodaway County,Missouri,21912.00,8909.00,877.75,1.13,876.62,25.00,10.20
Oregon County,Missouri,10344.00,4997.00,791.59,0.18,791.40,13.10,6.30
Osage County,Missouri,13062.00,5904.00,613.41,7.30,606.11,21.60,9.70
Ozark County,Missouri,9542.00,5114.00,755.07,12.92,742.15,12.90,6.90
Pemiscot County,Missouri,20047.00,8793.00,512.41,19.33,493.08,40.70,17.80
Perry County,Missouri,18132.00,7815.00,484.28,9.61,474.67,38.20,16.50
Pettis County,Missouri,39403.00,16963.00,686.34,1.52,684.82,57.50,24.80
Phelps County,Missouri,39825.00,17501.00,674.28,1.43,672.85,59.20,26.00
Pike County,Missouri,18351.00,7493.00,684.81,11.99,672.82,27.30,11.10
Platte County,Missouri,73781.00,30902.00,427.22,6.89,420.33,175.50,73.50
Polk County,Missouri,26992.00,11183.00,642.46,5.26,637.20,42.40,17.60
Pulaski County,Missouri,41165.00,15408.00,551.41,4.39,547.02,75.30,28.20
Putnam County,Missouri,5223.00,2914.00,519.66,1.76,517.90,10.10,5.60
Ralls County,Missouri,9626.00,4564.00,483.82,12.82,471.00,20.40,9.70
Randolph County,Missouri,24663.00,10740.00,487.65,5.33,482.32,51.10,22.30
Ray County,Missouri,23354.00,9371.00,573.57,4.11,569.47,41.00,16.50
Reynolds County,Missouri,6689.00,3759.00,814.41,3.21,811.20,8.20,4.60
Ripley County,Missouri,13509.00,6392.00,631.66,2.20,629.47,21.50,10.20
St. Charles County,Missouri,283883.00,105514.00,592.35,31.93,560.42,506.60,188.30
St. Clair County,Missouri,9652.00,5205.00,701.90,25.25,676.66,14.30,7.70
Ste. Genevieve County,Missouri,17842.00,8018.00,508.94,6.55,502.39,35.50,16.00
St. Francois County,Missouri,55641.00,24449.00,452.40,2.94,449.46,123.80,54.40
St. Louis County,Missouri,1016315.00,423749.00,523.69,15.89,507.81,2001.40,834.50
Saline County,Missouri,23756.00,10019.00,764.59,9.04,755.55,31.40,13.30
Schuyler County,Missouri,4170.00,2027.00,308.16,0.29,307.87,13.50,6.60
Scotland County,Missouri,4983.00,2292.00,439.25,0.79,438.47,11.40,5.20
Scott County,Missouri,40422.00,16951.00,426.04,5.03,421.01,96.00,40.30
Shannon County,Missouri,8324.00,3862.00,1003.99,0.15,1003.83,8.30,3.80
Shelby County,Missouri,6799.00,3245.00,502.43,1.49,500.93,13.60,6.50
Stoddard County,Missouri,29705.00,13221.00,828.94,1.82,827.12,35.90,16.00
Stone County,Missouri,28658.00,16241.00,510.91,47.68,463.22,61.90,35.10
Sullivan County,Missouri,7219.00,3364.00,651.43,0.48,650.95,11.10,5.20
Taney County,Missouri,39703.00,19688.00,651.48,19.12,632.36,62.80,31.10
Texas County,Missouri,23003.00,10764.00,1179.24,0.70,1178.54,19.50,9.10
Vernon County,Missouri,20454.00,8872.00,837.04,3.09,833.95,24.50,10.60
Warren County,Missouri,24525.00,11046.00,437.74,6.43,431.31,56.90,25.60
Washington County,Missouri,23344.00,9894.00,762.46,2.87,759.59,30.70,13.00
Wayne County,Missouri,13259.00,7496.00,774.09,13.05,761.03,17.40,9.80
Webster County,Missouri,31045.00,12052.00,593.69,0.37,593.32,52.30,20.30
Worth County,Missouri,2382.00,1245.00,266.75,0.23,266.52,8.90,4.70
Wright County,Missouri,17955.00,7957.00,683.18,1.05,682.13,26.30,11.70
St. Louis city,Missouri,348189.00,176354.00,66.15,4.23,61.92,5622.90,2847.90
Beaverhead County,Montana,9202.00,4571.00,5572.04,29.73,5542.31,1.70,0.80
Big Horn County,Montana,12671.00,4655.00,5014.65,19.84,4994.81,2.50,0.90
Blaine County,Montana,7009.00,2947.00,4238.92,12.74,4226.18,1.70,0.70
Broadwater County,Montana,4385.00,2002.00,1238.94,47.59,1191.35,3.70,1.70
Carbon County,Montana,9552.00,5494.00,2062.19,14.20,2047.99,4.70,2.70
Carter County,Montana,1360.00,811.00,3348.29,8.73,3339.57,0.40,0.20
Cascade County,Montana,80357.00,35225.00,2711.65,13.75,2697.90,29.80,13.10
Chouteau County,Montana,5970.00,2776.00,3997.00,23.76,3973.24,1.50,0.70
Custer County,Montana,11696.00,5360.00,3793.22,10.09,3783.13,3.10,1.40
Daniels County,Montana,2017.00,1154.00,1426.52,0.43,1426.09,1.40,0.80
Dawson County,Montana,9059.00,4168.00,2383.13,9.99,2373.14,3.80,1.80
Deer Lodge County,Montana,9417.00,4958.00,741.16,4.19,736.98,12.80,6.70
Fallon County,Montana,2837.00,1410.00,1623.02,2.69,1620.33,1.80,0.90
Fergus County,Montana,11893.00,5558.00,4350.36,11.20,4339.17,2.70,1.30
Flathead County,Montana,74471.00,34773.00,5256.45,158.11,5098.34,14.60,6.80
Gallatin County,Montana,67831.00,29489.00,2631.84,26.00,2605.84,26.00,11.30
Garfield County,Montana,1279.00,961.00,4847.54,179.48,4668.06,0.30,0.20
Glacier County,Montana,13247.00,5243.00,3037.11,42.39,2994.72,4.40,1.80
Golden Valley County,Montana,1042.00,450.00,1176.40,1.10,1175.30,0.90,0.40
Granite County,Montana,2830.00,2074.00,1733.11,5.67,1727.44,1.60,1.20
Hill County,Montana,16673.00,7453.00,2916.05,19.69,2896.36,5.80,2.60
Jefferson County,Montana,10049.00,4199.00,1658.83,2.19,1656.64,6.10,2.50
Judith Basin County,Montana,2329.00,1325.00,1870.71,0.86,1869.85,1.20,0.70
Lake County,Montana,26507.00,13605.00,1653.72,159.95,1493.77,17.70,9.10
Lewis and Clark County,Montana,55716.00,25672.00,3497.56,36.60,3460.96,16.10,7.40
Liberty County,Montana,2158.00,1070.00,1447.19,17.44,1429.76,1.50,0.70
Lincoln County,Montana,18837.00,9319.00,3675.11,62.44,3612.67,5.20,2.60
McCone County,Montana,1977.00,1087.00,2682.77,40.25,2642.53,0.70,0.40
Madison County,Montana,6851.00,4671.00,3602.85,16.31,3586.54,1.90,1.30
Meagher County,Montana,1932.00,1363.00,2394.83,3.02,2391.82,0.80,0.60
Mineral County,Montana,3884.00,1961.00,1223.38,3.56,1219.82,3.20,1.60
Missoula County,Montana,95802.00,41319.00,2618.34,20.37,2597.97,36.90,15.90
Musselshell County,Montana,4497.00,2317.00,1870.91,3.76,1867.15,2.40,1.20
Park County,Montana,15694.00,8247.00,2813.59,11.18,2802.41,5.60,2.90
Petroleum County,Montana,493.00,292.00,1674.01,20.11,1653.90,0.30,0.20
Phillips County,Montana,4601.00,2502.00,5212.17,72.60,5139.57,0.90,0.50
Pondera County,Montana,6424.00,2834.00,1639.85,15.16,1624.70,4.00,1.70
Powder River County,Montana,1858.00,1007.00,3297.94,0.76,3297.18,0.60,0.30
Powell County,Montana,7180.00,2930.00,2332.68,6.74,2325.94,3.10,1.30
Prairie County,Montana,1199.00,718.00,1742.56,6.00,1736.55,0.70,0.40
Ravalli County,Montana,36070.00,15946.00,2400.32,6.11,2394.21,15.10,6.70
Richland County,Montana,9667.00,4557.00,2103.02,18.93,2084.09,4.60,2.20
Roosevelt County,Montana,10620.00,4044.00,2369.65,14.05,2355.60,4.50,1.70
Rosebud County,Montana,9383.00,3912.00,5026.94,14.57,5012.37,1.90,0.80
Sanders County,Montana,10227.00,5271.00,2790.03,27.86,2762.17,3.70,1.90
Sheridan County,Montana,4105.00,2167.00,1706.30,29.73,1676.58,2.40,1.30
Silver Bow County,Montana,34606.00,16176.00,718.97,0.66,718.31,48.20,22.50
Stillwater County,Montana,8195.00,3947.00,1804.61,9.52,1795.09,4.60,2.20
Sweet Grass County,Montana,3609.00,1860.00,1862.00,6.92,1855.08,1.90,1.00
Teton County,Montana,6445.00,2910.00,2292.58,19.97,2272.61,2.80,1.30
Toole County,Montana,5267.00,2300.00,1945.86,34.91,1910.95,2.80,1.20
Treasure County,Montana,861.00,422.00,984.11,5.24,978.86,0.90,0.40
Valley County,Montana,7675.00,4847.00,5061.98,140.98,4921.00,1.60,1.00
Wheatland County,Montana,2259.00,1154.00,1428.29,5.19,1423.09,1.60,0.80
Wibaux County,Montana,1068.00,587.00,890.09,0.78,889.31,1.20,0.70
Yellowstone County,Montana,129352.00,54563.00,2649.05,13.90,2635.15,49.10,20.70
Adams County,Nebraska,31151.00,13014.00,564.16,0.76,563.41,55.30,23.10
Antelope County,Nebraska,7452.00,3346.00,858.43,1.37,857.06,8.70,3.90
Arthur County,Nebraska,444.00,273.00,718.32,2.95,715.37,0.60,0.40
Banner County,Nebraska,819.00,375.00,746.37,0.15,746.22,1.10,0.50
Blaine County,Nebraska,583.00,333.00,714.34,3.59,710.74,0.80,0.50
Boone County,Nebraska,6259.00,2733.00,687.25,0.56,686.69,9.10,4.00
Box Butte County,Nebraska,12158.00,5488.00,1077.84,2.54,1075.29,11.30,5.10
Boyd County,Nebraska,2438.00,1406.00,544.59,4.54,540.05,4.50,2.60
Brown County,Nebraska,3525.00,1916.00,1225.08,3.80,1221.28,2.90,1.60
Buffalo County,Nebraska,42259.00,16830.00,975.27,7.28,967.99,43.70,17.40
Burt County,Nebraska,7791.00,3723.00,497.10,4.33,492.77,15.80,7.60
Butler County,Nebraska,8767.00,3901.00,584.41,0.82,583.59,15.00,6.70
Cass County,Nebraska,24334.00,10179.00,566.21,7.03,559.18,43.50,18.20
Cedar County,Nebraska,9615.00,4200.00,745.81,5.59,740.23,13.00,5.70
Chase County,Nebraska,4068.00,1927.00,897.63,3.14,894.50,4.50,2.20
Cherry County,Nebraska,6148.00,3220.00,6009.54,49.02,5960.52,1.00,0.50
Cheyenne County,Nebraska,9830.00,4569.00,1196.45,0.11,1196.34,8.20,3.80
Clay County,Nebraska,7039.00,3066.00,573.53,0.49,573.03,12.30,5.40
Colfax County,Nebraska,10441.00,4088.00,418.58,5.44,413.14,25.30,9.90
Cuming County,Nebraska,10203.00,4283.00,574.54,2.54,572.00,17.80,7.50
Custer County,Nebraska,11793.00,5585.00,2576.08,0.37,2575.71,4.60,2.20
Dakota County,Nebraska,20253.00,7528.00,267.39,3.60,263.80,76.80,28.50
Dawes County,Nebraska,9060.00,4004.00,1400.86,4.62,1396.24,6.50,2.90
Dawson County,Nebraska,24365.00,9805.00,1019.30,6.37,1012.92,24.10,9.70
Deuel County,Nebraska,2098.00,1032.00,440.79,0.90,439.89,4.80,2.30
Dixon County,Nebraska,6339.00,2673.00,482.72,6.33,476.39,13.30,5.60
Dodge County,Nebraska,36160.00,15468.00,543.92,9.53,534.39,67.70,28.90
Douglas County,Nebraska,463585.00,192672.00,339.60,8.62,330.98,1400.70,582.10
Dundy County,Nebraska,2292.00,1196.00,920.79,0.93,919.86,2.50,1.30
Fillmore County,Nebraska,6634.00,2990.00,576.62,0.16,576.46,11.50,5.20
Franklin County,Nebraska,3574.00,1746.00,576.11,0.19,575.92,6.20,3.00
Frontier County,Nebraska,3099.00,1543.00,980.06,5.51,974.55,3.20,1.60
Furnas County,Nebraska,5324.00,2730.00,720.51,2.42,718.09,7.40,3.80
Gage County,Nebraska,22993.00,10030.00,859.94,4.65,855.29,26.90,11.70
Garden County,Nebraska,2292.00,1298.00,1731.00,26.60,1704.40,1.30,0.80
Garfield County,Nebraska,1902.00,1021.00,571.34,1.31,570.03,3.30,1.80
Gosper County,Nebraska,2143.00,1281.00,462.74,4.57,458.18,4.70,2.80
Grant County,Nebraska,747.00,449.00,783.23,7.00,776.22,1.00,0.60
Greeley County,Nebraska,2714.00,1199.00,570.71,0.85,569.85,4.80,2.10
Hall County,Nebraska,53534.00,21574.00,552.22,5.83,546.40,98.00,39.50
Hamilton County,Nebraska,9403.00,3850.00,546.77,3.09,543.68,17.30,7.10
Harlan County,Nebraska,3786.00,2327.00,574.18,21.40,552.78,6.80,4.20
Hayes County,Nebraska,1068.00,526.00,713.33,0.22,713.11,1.50,0.70
Hitchcock County,Nebraska,3111.00,1675.00,718.57,8.54,710.03,4.40,2.40
Holt County,Nebraska,11551.00,5281.00,2417.65,4.99,2412.66,4.80,2.20
Hooker County,Nebraska,783.00,440.00,721.51,0.34,721.17,1.10,0.60
Howard County,Nebraska,6567.00,2782.00,575.74,6.27,569.47,11.50,4.90
Jefferson County,Nebraska,8333.00,3942.00,575.50,2.48,573.01,14.50,6.90
Johnson County,Nebraska,4488.00,2116.00,376.82,0.69,376.13,11.90,5.60
Kearney County,Nebraska,6882.00,2846.00,516.13,0.11,516.03,13.30,5.50
Keith County,Nebraska,8875.00,5178.00,1109.77,48.51,1061.26,8.40,4.90
Keya Paha County,Nebraska,983.00,548.00,774.17,0.89,773.29,1.30,0.70
Kimball County,Nebraska,4089.00,1972.00,952.31,0.58,951.72,4.30,2.10
Knox County,Nebraska,9374.00,4773.00,1139.65,31.53,1108.12,8.50,4.30
Lancaster County,Nebraska,250291.00,104217.00,846.71,7.83,838.88,298.40,124.20
Lincoln County,Nebraska,34632.00,15438.00,2575.10,11.12,2563.98,13.50,6.00
Logan County,Nebraska,774.00,386.00,571.15,0.46,570.68,1.40,0.70
Loup County,Nebraska,712.00,377.00,571.02,1.31,569.71,1.20,0.70
McPherson County,Nebraska,533.00,283.00,860.02,1.04,858.98,0.60,0.30
Madison County,Nebraska,35226.00,14432.00,575.05,2.49,572.57,61.50,25.20
Merrick County,Nebraska,8204.00,3649.00,494.72,9.85,484.88,16.90,7.50
Morrill County,Nebraska,5440.00,2460.00,1429.81,6.06,1423.75,3.80,1.70
Nance County,Nebraska,4038.00,1787.00,448.04,6.73,441.32,9.10,4.00
Nemaha County,Nebraska,7576.00,3439.00,411.89,2.58,409.30,18.50,8.40
Nuckolls County,Nebraska,5057.00,2530.00,575.96,0.66,575.30,8.80,4.40
Otoe County,Nebraska,15396.00,6567.00,619.09,3.40,615.69,25.00,10.70
Pawnee County,Nebraska,3087.00,1587.00,432.95,1.38,431.57,7.20,3.70
Perkins County,Nebraska,3200.00,1444.00,884.27,1.10,883.18,3.60,1.60
Phelps County,Nebraska,9747.00,4191.00,540.60,0.64,539.97,18.10,7.80
Pierce County,Nebraska,7857.00,3247.00,575.27,1.34,573.93,13.70,5.70
Platte County,Nebraska,31662.00,12916.00,689.08,11.01,678.07,46.70,19.00
Polk County,Nebraska,5639.00,2717.00,440.72,1.88,438.84,12.80,6.20
Red Willow County,Nebraska,11448.00,5278.00,718.06,1.40,716.65,16.00,7.40
Richardson County,Nebraska,9531.00,4560.00,555.95,2.70,553.26,17.20,8.20
Rock County,Nebraska,1756.00,935.00,1011.85,3.40,1008.46,1.70,0.90
Saline County,Nebraska,13843.00,5611.00,576.06,0.73,575.34,24.10,9.80
Sarpy County,Nebraska,122595.00,44981.00,247.28,6.76,240.52,509.70,187.00
Saunders County,Nebraska,19830.00,8266.00,758.82,4.92,753.90,26.30,11.00
Scotts Bluff County,Nebraska,36951.00,16119.00,745.50,6.22,739.27,50.00,21.80
Seward County,Nebraska,16496.00,6428.00,575.73,0.97,574.75,28.70,11.20
Sheridan County,Nebraska,6198.00,3013.00,2469.99,28.95,2441.04,2.50,1.20
Sherman County,Nebraska,3318.00,1839.00,571.63,5.78,565.84,5.90,3.30
Sioux County,Nebraska,1475.00,780.00,2067.32,0.73,2066.59,0.70,0.40
Stanton County,Nebraska,6455.00,2452.00,431.06,1.23,429.83,15.00,5.70
Thayer County,Nebraska,6055.00,2828.00,575.30,0.75,574.55,10.50,4.90
Thomas County,Nebraska,729.00,446.00,713.65,0.79,712.86,1.00,0.60
Thurston County,Nebraska,7171.00,2467.00,396.25,2.44,393.81,18.20,6.30
Valley County,Nebraska,4647.00,2273.00,570.51,2.41,568.11,8.20,4.00
Washington County,Nebraska,18780.00,7408.00,393.76,3.27,390.49,48.10,19.00
Wayne County,Nebraska,9851.00,3662.00,443.48,0.05,443.43,22.20,8.30
Webster County,Nebraska,4061.00,1972.00,575.02,0.13,574.89,7.10,3.40
Wheeler County,Nebraska,886.00,561.00,575.57,0.41,575.17,1.50,1.00
York County,Nebraska,14598.00,6172.00,576.02,0.36,575.66,25.40,10.70
Churchill County,Nevada,23982.00,9732.00,5023.38,94.30,4929.08,4.90,2.00
Clark County,Nevada,1375765.00,559799.00,8090.66,180.32,7910.34,173.90,70.80
Douglas County,Nevada,41259.00,19006.00,737.65,27.80,709.85,58.10,26.80
Elko County,Nevada,45291.00,18456.00,17202.94,23.91,17179.03,2.60,1.10
Esmeralda County,Nevada,971.00,833.00,3589.00,0.50,3588.50,0.30,0.20
Eureka County,Nevada,1651.00,1025.00,4179.96,4.28,4175.68,0.40,0.20
Humboldt County,Nevada,16106.00,6954.00,9657.87,9.96,9647.91,1.70,0.70
Lander County,Nevada,5794.00,2780.00,5519.47,25.84,5493.63,1.10,0.50
Lincoln County,Nevada,4165.00,2178.00,10636.77,3.17,10633.61,0.40,0.20
Lyon County,Nevada,34501.00,14279.00,2016.40,22.71,1993.69,17.30,7.20
Mineral County,Nevada,5071.00,2866.00,3812.97,56.56,3756.40,1.30,0.80
Nye County,Nevada,32485.00,15934.00,18158.73,12.07,18146.66,1.80,0.90
Pershing County,Nevada,6693.00,2389.00,6067.55,30.99,6036.56,1.10,0.40
Storey County,Nevada,3399.00,1596.00,263.80,0.34,263.45,12.90,6.10
Washoe County,Nevada,339486.00,143908.00,6551.32,209.05,6342.27,53.50,22.70
White Pine County,Nevada,9181.00,4439.00,8896.60,20.62,8875.98,1.00,0.50
Carson City,Nevada,52457.00,21283.00,155.66,12.31,143.35,365.90,148.50
Belknap County,New Hampshire,56325.00,32121.00,468.55,67.26,401.29,140.40,80.00
Carroll County,New Hampshire,43666.00,34750.00,992.24,58.44,933.80,46.80,37.20
Cheshire County,New Hampshire,73825.00,31876.00,729.15,21.75,707.40,104.40,45.10
Coos County,New Hampshire,33111.00,19623.00,1831.44,31.06,1800.39,18.40,10.90
Grafton County,New Hampshire,81743.00,43729.00,1750.08,36.75,1713.33,47.70,25.50
Hillsborough County,New Hampshire,380841.00,149961.00,892.20,15.84,876.36,434.60,171.10
Merrimack County,New Hampshire,136225.00,56244.00,956.49,22.06,934.43,145.80,60.20
Rockingham County,New Hampshire,277359.00,113023.00,793.96,99.00,694.96,399.10,162.60
Strafford County,New Hampshire,112233.00,45539.00,383.91,15.15,368.76,304.40,123.50
Sullivan County,New Hampshire,40458.00,20158.00,551.92,14.54,537.38,75.30,37.50
Atlantic County,New Jersey,252552.00,114090.00,671.45,110.37,561.07,450.10,203.30
Bergen County,New Jersey,884118.00,339820.00,246.80,12.63,234.17,3775.50,1451.20
Burlington County,New Jersey,423394.00,161311.00,819.43,14.86,804.57,526.20,200.50
Camden County,New Jersey,508932.00,199679.00,227.58,5.28,222.30,2289.40,898.20
Cape May County,New Jersey,102326.00,91047.00,620.28,365.09,255.19,401.00,356.80
Cumberland County,New Jersey,146438.00,52863.00,676.59,187.29,489.30,299.30,108.00
Essex County,New Jersey,793633.00,301011.00,129.56,3.29,126.27,6285.40,2383.90
Gloucester County,New Jersey,254673.00,95054.00,336.92,12.20,324.72,784.30,292.70
Hudson County,New Jersey,608975.00,240618.00,62.43,15.74,46.69,13043.60,5153.80
Hunterdon County,New Jersey,121989.00,45032.00,437.76,7.82,429.94,283.70,104.70
Mercer County,New Jersey,350761.00,133280.00,228.84,2.91,225.93,1552.50,589.90
Middlesex County,New Jersey,750162.00,273637.00,322.51,12.79,309.72,2422.10,883.50
Monmouth County,New Jersey,615301.00,240884.00,665.12,193.18,471.94,1303.80,510.40
Morris County,New Jersey,470212.00,174379.00,481.29,12.29,468.99,1002.60,371.80
Ocean County,New Jersey,510916.00,248711.00,915.88,279.60,636.28,803.00,390.90
Passaic County,New Jersey,489049.00,170048.00,197.05,11.76,185.29,2639.30,917.70
Salem County,New Jersey,64285.00,26158.00,372.57,34.69,337.88,190.30,77.40
Somerset County,New Jersey,297490.00,112023.00,305.05,0.36,304.69,976.40,367.70
Sussex County,New Jersey,144166.00,56528.00,535.99,14.73,521.26,276.60,108.40
Union County,New Jersey,522541.00,192945.00,105.46,2.17,103.29,5059.00,1868.00
Warren County,New Jersey,102437.00,41157.00,362.75,4.89,357.87,286.20,115.00
Bernalillo County,New Mexico,556678.00,239074.00,1168.65,2.62,1166.03,477.40,205.00
Catron County,New Mexico,3543.00,2548.00,6929.03,1.22,6927.81,0.50,0.40
Chaves County,New Mexico,61382.00,25647.00,6075.07,4.21,6070.86,10.10,4.20
Cibola County,New Mexico,25595.00,10328.00,4541.71,2.50,4539.21,5.60,2.30
Colfax County,New Mexico,14189.00,8959.00,3768.05,11.26,3756.79,3.80,2.40
Curry County,New Mexico,45044.00,19212.00,1407.67,1.72,1405.95,32.00,13.70
De Baca County,New Mexico,2240.00,1307.00,2333.83,8.96,2324.87,1.00,0.60
Dona Ana County,New Mexico,174682.00,65210.00,3814.62,7.44,3807.18,45.90,17.10
Eddy County,New Mexico,51658.00,22249.00,4197.57,15.55,4182.02,12.40,5.30
Grant County,New Mexico,31002.00,14066.00,3967.50,1.62,3965.88,7.80,3.50
Guadalupe County,New Mexico,4680.00,2160.00,3031.58,1.20,3030.37,1.50,0.70
Harding County,New Mexico,810.00,545.00,2125.95,0.61,2125.34,0.40,0.30
Hidalgo County,New Mexico,5932.00,2848.00,3445.91,0.28,3445.63,1.70,0.80
Lea County,New Mexico,55511.00,23405.00,4394.02,1.06,4392.96,12.60,5.30
Lincoln County,New Mexico,19411.00,15298.00,4831.25,0.28,4830.97,4.00,3.20
Los Alamos County,New Mexico,18343.00,7937.00,109.35,0.00,109.35,167.80,72.60
Luna County,New Mexico,25016.00,11291.00,2965.28,0.19,2965.09,8.40,3.80
McKinley County,New Mexico,74798.00,26718.00,5455.22,6.49,5448.72,13.70,4.90
Mora County,New Mexico,5180.00,2973.00,1933.48,2.38,1931.10,2.70,1.50
Otero County,New Mexico,62298.00,29272.00,6627.43,0.93,6626.50,9.40,4.40
Quay County,New Mexico,10155.00,5664.00,2881.80,6.87,2874.93,3.50,2.00
Rio Arriba County,New Mexico,41190.00,18016.00,5896.10,38.47,5857.63,7.00,3.10
Roosevelt County,New Mexico,18018.00,7746.00,2454.87,6.37,2448.50,7.40,3.20
Sandoval County,New Mexico,89908.00,34866.00,3714.32,4.98,3709.34,24.20,9.40
San Juan County,New Mexico,113801.00,43221.00,5538.36,24.35,5514.02,20.60,7.80
San Miguel County,New Mexico,30126.00,14254.00,4735.63,18.59,4717.04,6.40,3.00
Santa Fe County,New Mexico,129292.00,57701.00,1910.79,1.60,1909.19,67.70,30.20
Sierra County,New Mexico,13270.00,8727.00,4236.30,56.07,4180.23,3.20,2.10
Socorro County,New Mexico,18078.00,7808.00,6648.71,2.31,6646.40,2.70,1.20
Taos County,New Mexico,29979.00,17404.00,2204.62,1.45,2203.17,13.60,7.90
Torrance County,New Mexico,16911.00,7257.00,3345.81,1.00,3344.81,5.10,2.20
Union County,New Mexico,4174.00,2225.00,3830.79,0.79,3830.00,1.10,0.60
Valencia County,New Mexico,66152.00,24643.00,1068.21,0.58,1067.63,62.00,23.10
Albany County,New York,294565.00,129972.00,533.21,9.76,523.45,562.70,248.30
Allegany County,New York,49927.00,24505.00,1034.42,4.20,1030.22,48.50,23.80
Bronx County,New York,1332650.00,490659.00,57.43,15.40,42.03,31709.30,11674.80
Broome County,New York,200536.00,88817.00,715.46,8.64,706.82,283.70,125.70
Cattaraugus County,New York,83955.00,39839.00,1322.25,12.40,1309.85,64.10,30.40
Cayuga County,New York,81963.00,35477.00,863.64,170.46,693.18,118.20,51.20
Chautauqua County,New York,139750.00,64900.00,1500.02,437.97,1062.05,131.60,61.10
Chemung County,New York,91070.00,37745.00,410.79,2.62,408.17,223.10,92.50
Chenango County,New York,51401.00,23890.00,898.70,4.34,894.36,57.50,26.70
Clinton County,New York,79894.00,33091.00,1117.61,78.67,1038.95,76.90,31.90
Columbia County,New York,63094.00,30207.00,648.27,12.54,635.73,99.20,47.50
Cortland County,New York,48599.00,20116.00,501.52,1.87,499.65,97.30,40.30
Delaware County,New York,48055.00,28952.00,1468.04,21.67,1446.37,33.20,20.00
Dutchess County,New York,280150.00,106103.00,825.38,23.78,801.59,349.50,132.40
Erie County,New York,950265.00,415868.00,1226.89,182.68,1044.21,910.00,398.30
Essex County,New York,38851.00,23115.00,1916.50,119.70,1796.80,21.60,12.90
Franklin County,New York,51134.00,23936.00,1697.44,65.95,1631.49,31.30,14.70
Fulton County,New York,55073.00,27787.00,532.90,36.73,496.17,111.00,56.00
Genesee County,New York,60370.00,24190.00,495.33,1.22,494.11,122.20,49.00
Greene County,New York,48195.00,26544.00,658.13,10.38,647.75,74.40,41.00
Hamilton County,New York,5379.00,7965.00,1807.81,87.41,1720.39,3.10,4.60
Herkimer County,New York,64427.00,32026.00,1458.35,47.10,1411.25,45.70,22.70
Jefferson County,New York,111738.00,54070.00,1857.08,584.88,1272.20,87.80,42.50
Kings County,New York,2465326.00,930866.00,96.90,26.29,70.61,34916.60,13183.90
Lewis County,New York,26944.00,15134.00,1289.89,14.47,1275.42,21.10,11.90
Livingston County,New York,64328.00,24023.00,640.44,8.32,632.13,101.80,38.00
Madison County,New York,69441.00,28646.00,661.54,5.69,655.86,105.90,43.70
Monroe County,New York,735343.00,304388.00,1365.61,706.31,659.29,1115.30,461.70
Montgomery County,New York,49708.00,22522.00,410.32,5.51,404.82,122.80,55.60
Nassau County,New York,1334544.00,458151.00,453.08,166.39,286.69,4655.00,1598.10
New York County,New York,1537195.00,798144.00,33.77,10.81,22.96,66940.10,34756.70
Niagara County,New York,219846.00,95715.00,1139.83,616.89,522.95,420.40,183.00
Oneida County,New York,235469.00,102803.00,1257.11,44.41,1212.70,194.20,84.80
